定刻,出発時間,行先,,ゲート番号,滑走路,滑走路到着時間,遅延
20:35,,東京,,着陸,34R,20:35.0,0
20:40,20:40.0,名古屋/中部,,D4,34R,20:51.5,0
20:50,,沖縄/那覇,,着陸,34L,20:50.0,0
20:50,20:50.0,東京,,D9,34L,21:0.6,0
20:55,,東京,,着陸,34R,20:55.0,0
20:55,,成田,,着陸,34R,20:56.0,1
20:55,,仙台,,着陸,34R,20:57.0,2
20:55,20:55.0,沖縄/那覇,,D12,34R,21:4.4,0
21:00,,東京,,着陸,34L,21:1.7,2
21:00,,沖縄/那覇,,着陸,34L,21:2.7,3
21:00,21:00.0,東京,,D6,34L,21:11.6,0
21:00,,台北/桃園,,欠航,,,
21:05,21:05.0,東京,,D5,34R,21:16.3,0
21:10,,徳島,,着陸,34L,21:12.7,3
21:10,,小松,,着陸,34L,21:13.7,4
21:10,21:10.0,関西,,D1,34L,21:22.3,0
21:15,,大阪,,着陸,34R,21:17.4,3
21:15,21:15.0,東京,,D11,34R,21:24.7,0
21:20,,新潟,,着陸,34L,21:23.4,4
21:20,21:20.0,東京,,D2,34L,21:32.2,0
21:25,,東京,,着陸,34R,21:25.8,1
21:25,,成田,,着陸,34R,21:26.8,2
21:25,,沖縄/那覇,,着陸,34R,21:27.8,3
21:30,,大阪,,着陸,34R,21:30.0,0
21:30,,名古屋/中部,,着陸,34R,21:31.0,1
21:30,,沖縄/那覇,,着陸,34R,21:32.0,2
21:30,,名古屋/小牧,,着陸,34R,21:33.0,3
21:30,,宮崎,,着陸,34L,21:33.3,4
21:35,,宮崎,,着陸,34R,21:35.0,0
21:35,,東京,,着陸,34L,21:35.0,0
21:45,,東京,,着陸,34R,21:45.0,0
21:55,,東京,,着陸,34L,21:55.0,0
21:55,,東京,,着陸,34R,21:55.0,0
,,,,,,,
平均遅延時間,,28.637918315337913,[s],,,,
平均出発遅延時間,,6.823655338506851,[s],,,,
平均到着遅延時間,,50.5607099636955,[s],,,,
